lambda,R_lambda
-0.5600000000000005,3.6176938164891186
-0.5399999999999991,3.640707755574504
-0.5199999999999996,3.6636976420994354
-0.5,3.686660287676806
-0.4800000000000004,3.7095924989555162
-0.4599999999999991,3.732491079558521
-0.4399999999999995,3.7553528320419494
-0.41999999999999993,3.7781745598727774
-0.40000000000000036,3.800953069422421
-0.379999999999999,3.823685171973612
-0.35999999999999943,3.8463676857378135
-0.33999999999999986,3.8689974378804304
-0.3200000000000003,3.8915712665509568
-0.29999999999999893,3.9140860229152197
-0.27999999999999936,3.9365385731868243
-0.2599999999999998,3.9589258006548884
-0.2400000000000002,3.9812446077051145
-0.22000000000000064,4.003491917831266
-0.1999999999999993,4.025664677634092
-0.17999999999999972,4.047759858804759
-0.16000000000000014,4.06977446008985
-0.14000000000000057,4.091705509235027
-0.11999999999999922,4.1135500649044525
-0.09999999999999964,4.13530521857313
-0.08000000000000007,4.156968096389369
-0.0600000000000005,4.1785358610045735
-0.03999999999999915,4.200005713367691
-0.019999999999999574,4.221374894481656
0.0,4.242640687119285
0.019999999999999574,4.263800417496109
0.040000000000000924,4.28485145689775
0.0600000000000005,4.305791223259527
0.08000000000000007,4.3266171826960775
0.09999999999999964,4.347326850978868
0.120000000000001,4.367917794959584
0.14000000000000057,4.388387633937517
0.16000000000000014,4.408734040969172
0.17999999999999972,4.428954744118399
0.20000000000000107,4.449047527645575
0.22000000000000064,4.469010233134372
0.2400000000000002,4.488840760554884
0.2599999999999998,4.508537069261941
0.28000000000000114,4.528097178927619
0.3000000000000007,4.547519170407062
0.3200000000000003,4.5668011865369165
0.33999999999999986,4.585941432865738
0.35999999999999943,4.604938178315963
0.3800000000000008,4.623789755777088
0.40000000000000036,4.64249456262991
0.41999999999999993,4.6610510612017695
0.4399999999999995,4.679457779152893
0.46000000000000085,4.6977133097940404
0.4800000000000004,4.715816312335857
0.5,4.73376551207036
0.5199999999999996,4.7515597004852035
0.5400000000000009,4.769197735311429
0.5600000000000005,4.786678540505555
0.5800000000000001,4.804001106166964
0.5999999999999996,4.821164488391641
0.620000000000001,4.838167809063446
0.6400000000000006,4.855010255584172
0.6600000000000001,4.871691080543785
0.6799999999999997,4.88820960133224
0.7000000000000011,4.904565199694463
0.7200000000000006,4.9207573212300755
0.7400000000000002,4.9367854748395565
0.7599999999999998,4.952649232118596
0.7800000000000011,4.968348226702426
0.8000000000000007,4.983882153562026
0.8200000000000003,4.999250768254089
0.8399999999999999,5.014453886126723
0.8599999999999994,5.029491381482857
0.8800000000000008,5.044363186703396
0.9000000000000004,5.0590692913321655
0.9199999999999999,5.073609741124718
0.9399999999999995,5.0879846370630695
0.9600000000000009,5.102194134338484
0.9800000000000004,5.116238441304379
1.0,5.130117818401462
1.0199999999999996,5.143832577057177
1.040000000000001,5.157383078561546
1.0600000000000005,5.170769732921462
1.08,5.183992997695486
1.0999999999999996,5.197053376811155
1.120000000000001,5.209951419366799
1.1400000000000006,5.222687718419835
1.1600000000000001,5.235262909763441
1.1799999999999997,5.247677670693536
1.200000000000001,5.2599327187678595
1.2200000000000006,5.272028810559008
1.2400000000000002,5.283966740403146
1.2599999999999998,5.295747339146122
1.2800000000000011,5.307371472888632
1.3000000000000007,5.3188400417320425
1.3200000000000003,5.330153978526428
1.3399999999999999,5.341314247622313
1.3599999999999994,5.352321843627558
1.3800000000000008,5.363177790170762
1.4000000000000004,5.373883138672532
1.42,5.384438967125841
1.4399999999999995,5.394846378886721
1.4600000000000009,5.405106501476405
1.4800000000000004,5.415220485396014
1.5,5.425189502954821
1.5199999999999996,5.435014747113041
1.540000000000001,5.4446974303400735
1.5600000000000005,5.454238783489022
1.58,5.463640054688314
1.5999999999999996,5.472902508251109
1.620000000000001,5.482027423603231
1.6400000000000006,5.491016094230187
1.6600000000000001,5.4998698266438915
1.6799999999999997,5.508589939369575
1.700000000000001,5.517177761953366
1.7200000000000006,5.525634633990947
1.7400000000000002,5.533961904177659
1.7599999999999998,5.5421609293803655
1.7800000000000011,5.5502330737313486
1.8000000000000007,5.558179707744475
1.8200000000000003,5.566002207453802
1.8399999999999999,5.573701953574791
1.8599999999999994,5.5812803306882
1.8800000000000008,5.588738726446752
1.9000000000000004,5.596078530804592
1.92,5.603301135269555
1.9399999999999995,5.610407932178154
1.9600000000000009,5.617400313993292
1.9800000000000004,5.624279672624529
2.0,5.631047398770833
