t,lambda_t,R_t
0.26375,-0.05657192018918954,4.18222290937207
0.26425,-0.061791830760397966,4.176607523720772
0.26475,-0.06700495244740724,4.170992801360028
0.26525,-0.07221787476996494,4.165371707880261
0.26575,-0.0774241331591299,4.159751276464478
0.26625,-0.08263018168771818,4.154124602077063
0.26675,-0.08782968972418347,4.148498589014771
0.26725,-0.09302897782687328,4.14286646046879
0.26775,-0.09822184739140416,4.137234992994459
0.26825,-0.10341448736592374,4.131597536862669
0.26875,-0.10860082929075068,4.125960742032095
0.26925,-0.11378693238044645,4.12031808470638
0.26975,-0.1189668564648113,4.114676089392087
0.27025,-0.12414653287431326,4.109028357078919
0.27075,-0.1293201478997328,4.103381287965592
0.27125,-0.13449350681033198,4.097728606681525
0.27175,-0.13966092055557922,4.092076590261458
0.27225,-0.1448280701403168,4.086419085828628
0.27275,-0.14998938939612627,4.080762248397194
0.27325,-0.15515043683461074,4.075100046438861
0.27375,-0.16030576741811664,4.069438514090005
0.27425,-0.1654608189110645,4.063771740026094
0.27475,-0.17061026567997184,4.058105638647853
0.27525,-0.1757594264634856,4.052434417690537
0.27575,-0.18090309332998744,4.046763872960575
0.27625,-0.18604646768957395,4.0410883301098695
0.27675,-0.1911844576340141,4.035413467491039
0.27725,-0.19632214891834313,4.029733727530419
0.27775,-0.2014545640026313,4.024054672266346
0.27825,-0.20658667463705002,4.018370859758396
0.27875,-0.2117136160178391,4.012687736869086
0.27925,-0.21684024751764136,4.006999976151155
0.27975,-0.22196181545926014,4.0013129104286245
0.28025,-0.2270830684427138,3.9956213256085227
0.28075,-0.23219936232987537,3.989930441612455
0.28125,-0.23731533653102127,3.9842351565641607
0.28175,-0.24242645488130032,3.97854057861758
0.28225,-0.24753724916251454,3.9728417169769763
0.28275,-0.2526432896386027,3.967143569161953
0.28325,-0.25774900200294115,3.961441254322591
0.28375,-0.26285006142468637,3.955739660475963
0.28425,-0.2679507890280054,3.950034015584837
0.28475,-0.27304696338423373,3.9443290992939675
0.28525,-0.278142802547097,3.938620247247329
0.28575,-0.2832341870072299,3.9329121318458706
0.28625,-0.2883252332266062,3.927200195285055
0.28675,-0.2934119221520705,3.9214890038487598
0.28725,-0.29849827011281965,3.915774105156042
0.28775,-0.3035803570682569,3.9100599604985806
0.28825,-0.3086621006544186,3.904342221793058
0.28875,-0.3137396784187002,3.8986252464618656
0.28925,-0.3188169107245819,3.8929047895953635
0.28975,-0.32389007130162695,3.887185105867521
0.29025,-0.3289628846426978,3.881462052420521
