lambda,x,density
4.0,-6.382382382382382,0.0005965325928557872
4.0,-6.366366366366366,0.0006299320623353548
4.0,-6.35035035035035,0.0006650309354454243
4.0,-6.334334334334335,0.0007019053945210211
4.0,-6.318318318318318,0.0007406344522690237
4.0,-6.302302302302302,0.0007813000254098391
4.0,-6.286286286286286,0.0008239870085661875
4.0,-6.27027027027027,0.0008687833482957885
4.0,-6.2542542542542545,0.0009157801171588991
4.0,-6.238238238238238,0.0009650715877055025
4.0,-6.222222222222222,0.0010167553062608967
4.0,-6.206206206206206,0.0010709321663822354
4.0,-6.19019019019019,0.0011277064818521966
4.0,-6.1741741741741745,0.0011871860590697981
4.0,-6.158158158158158,0.0012494822686918343
4.0,-6.142142142142142,0.0013147101163721155
4.0,-6.126126126126126,0.0013829883124392751
4.0,-6.11011011011011,0.001454439340347381
4.0,-6.094094094094094,0.00152918952372734
4.0,-6.078078078078078,0.0016073690918605285
4.0,-6.062062062062062,0.0016891122433898634
4.0,-6.046046046046046,0.001774557208077255
4.0,-6.03003003003003,0.0018638463064100349
4.0,-6.014014014014014,0.001957126006853089
4.0,-5.997997997997998,0.0020545469805372044
4.0,-5.981981981981982,0.0021562641531684516
4.0,-5.965965965965966,0.0022624367539377387
4.0,-5.94994994994995,0.0023732283612039775
4.0,-5.933933933933934,0.0024888069447193155
4.0,-5.917917917917918,0.002609344904159489
4.0,-5.901901901901902,0.002735019103717706
4.0,-5.885885885885886,0.0028660109025159196
4.0,-5.86986986986987,0.0030025061805829044
4.0,-5.853853853853854,0.003144695360144866
4.0,-5.837837837837838,0.0032927734219704453
4.0,-5.821821821821822,0.0034469399165089386
4.0,-5.8058058058058055,0.0036073989695576676
4.0,-5.78978978978979,0.003774359282191884
4.0,-5.773773773773774,0.003948034124688919
4.0,-5.757757757757758,0.004128641324176394
4.0,-5.741741741741741,0.004316403245733624
4.0,-5.7257257257257255,0.004511546766674759
4.0,-5.70970970970971,0.0047143032437422265
4.0,-5.693693693693694,0.004924908472939681
4.0,-5.677677677677678,0.005143602641734988
4.0,-5.661661661661661,0.005370630273365493
4.0,-5.645645645645645,0.005606240162980508
4.0,-5.62962962962963,0.005850685305358934
4.0,-5.613613613613614,0.0061042228139438215
4.0,-5.597597597597598,0.006367113830940394
4.0,-5.581581581581581,0.006639623428229122
4.0,-5.565565565565565,0.006922020498851771
4.0,-5.54954954954955,0.007214577638834922
4.0,-5.533533533533534,0.0075175710191231065
4.0,-5.5175175175175175,0.007831280247402294
4.0,-5.501501501501501,0.008155988219603429
4.0,-5.485485485485485,0.008491980960886089
4.0,-5.46946946946947,0.008839547455912942
4.0,-5.453453453453454,0.009198979468237528
4.0,-5.4374374374374375,0.009570571348640594
4.0,-5.421421421421421,0.009954619832263568
4.0,-5.405405405405405,0.010351423824402217
4.0,-5.38938938938939,0.010761284174838664
4.0,-5.373373373373374,0.011184503440605871
4.0,-5.357357357357357,0.011621385637096065
4.0,-5.341341341341341,0.012072235977441868
4.0,-5.325325325325325,0.012537360600118092
