schedule,sigma,mse,mode_error
edm_lognormal,0.02617290315443958,0.020140156149864197,0.0
edm_lognormal,0.028816225099520986,0.02389771118760109,0.0
edm_lognormal,0.03172650829319295,0.028878798708319664,0.0
edm_lognormal,0.03493071438058602,0.024751393124461174,0.0
edm_lognormal,0.038458527987457976,0.023201903328299522,0.0
edm_lognormal,0.04234263172653941,0.02667228877544403,0.0
edm_lognormal,0.04661900897803576,0.036393411457538605,0.0
edm_lognormal,0.0513272772493256,0.039157480001449585,0.0
edm_lognormal,0.05651105520218928,0.028225194662809372,0.0
edm_lognormal,0.062218366747806474,0.027569349855184555,0.0
edm_lognormal,0.0685020859531673,0.0269747544080019,0.0
edm_lognormal,0.07542042688062935,0.03298044949769974,0.0
edm_lognormal,0.0830374828986263,0.022979507222771645,0.0
edm_lognormal,0.09142382045984675,0.021500715985894203,0.0
edm_lognormal,0.10065713284780411,0.027584508061408997,0.0
edm_lognormal,0.11082295994828163,0.030376650393009186,0.0
edm_lognormal,0.12201548071380787,0.032221727073192596,0.0
edm_lognormal,0.13433838566276676,0.0364849679172039,0.0
edm_lognormal,0.14790583749620875,0.04737351834774017,0.0
edm_lognormal,0.16284352873177418,0.04996567219495773,0.0
edm_lognormal,0.1792898461529342,0.051329828798770905,0.0
edm_lognormal,0.19739715286132026,0.04401024058461189,0.0
edm_lognormal,0.21733319980941776,0.049287788569927216,0.0
edm_lognormal,0.23928267989044386,0.06102742254734039,0.0
edm_lognormal,0.2634489389829135,0.06727582961320877,0.0
edm_lognormal,0.290055859801471,0.07487951964139938,0.0
edm_lognormal,0.3193499360064882,0.09272215515375137,0.0
edm_lognormal,0.35160255578753474,0.09928420931100845,0.0
edm_lognormal,0.3871125160764548,0.12305823713541031,0.0
edm_lognormal,0.4262087906823923,0.12696358561515808,0.0
edm_lognormal,0.46925357799351164,0.15834292769432068,0.0
edm_lognormal,0.5166456564801436,0.19113019108772278,0.00390625
edm_lognormal,0.5688240790856355,0.23526296019554138,0.005859375
edm_lognormal,0.6262722407307354,0.24970583617687225,0.0078125
edm_lognormal,0.6895223566139651,0.3374578058719635,0.01171875
edm_lognormal,0.7591603927961601,0.37647366523742676,0.017578125
edm_lognormal,0.8358314947474289,0.4851439297199249,0.025390625
edm_lognormal,0.9202459641480578,0.5434508919715881,0.01953125
edm_lognormal,1.0131858393140483,0.6394505500793457,0.037109375
edm_lognormal,1.1155121402101058,0.7613457441329956,0.052734375
edm_lognormal,1.2281728451698428,0.9899134039878845,0.076171875
edm_lognormal,1.3522116732216651,1.105846881866455,0.0703125
edm_lognormal,1.4887777533821611,1.2624248266220093,0.125
edm_lognormal,1.6391362704959387,1.6065329313278198,0.146484375
edm_lognormal,1.804680186247825,1.7424521446228027,0.14453125
edm_lognormal,1.9869431439340202,1.8376410007476807,0.1640625
edm_lognormal,2.18761367654549,2.370692253112793,0.201171875
edm_lognormal,2.4085508497910983,2.6032276153564453,0.2265625
edm_lognormal,2.651801484981615,2.4684135913848877,0.19921875
edm_lognormal,2.9196191213320715,2.8287806510925293,0.25
edm_lognormal,3.21448489335428,3.052264928817749,0.2421875
edm_lognormal,3.5391305167533327,3.3386101722717285,0.255859375
edm_lognormal,3.896563595775542,3.9345264434814453,0.322265625
edm_lognormal,4.290095486461946,4.509140968322754,0.333984375
edm_lognormal,4.723371973940028,4.2497124671936035,0.314453125
edm_lognormal,5.200407047956278,4.584298610687256,0.359375
edm_lognormal,5.72562008955526,5.022132873535156,0.36328125
edm_lognormal,6.303876813412554,5.438434600830078,0.40625
edm_lognormal,6.940534345122285,5.273284912109375,0.404296875
edm_lognormal,7.6414908510474175,5.397080421447754,0.408203125
edm_lognormal,8.413240180517057,5.159738540649414,0.353515625
edm_lognormal,9.262932026590663,6.1337690353393555,0.419921875
edm_lognormal,10.198438162734806,6.227322101593018,0.431640625
edm_lognormal,11.228425369046683,6.073158264160156,0.423828125
edm_lognormal,12.362435723632643,6.9158220291137695,0.431640625
edm_lognormal,13.610975002982464,6.8298821449279785,0.404296875
edm_lognormal,14.985610010304342,7.060561180114746,0.41796875
edm_lognormal,16.499075733496387,8.426971435546875,0.443359375
edm_lognormal,18.16539332549472,9.006200790405273,0.44921875
edm_lognormal,19.999999999999996,10.766555786132812,0.470703125
r_normal_wide,0.010000000000000005,0.04532409831881523,0.0
r_normal_wide,0.01100994602298563,0.05980363488197327,0.001953125
r_normal_wide,0.012121891142905695,0.10355021059513092,0.0
r_normal_wide,0.013346136717989924,0.13861626386642456,0.0
r_normal_wide,0.01469402448804556,0.182511568069458,0.0
r_normal_wide,0.01617804164738105,0.18594622611999512,0.0
r_normal_wide,0.01781193652952788,0.15453258156776428,0.0
r_normal_wide,0.019610845975494787,0.1392013132572174,0.0
r_normal_wide,0.02159143556552824,0.12173037976026535,0.0
r_normal_wide,0.023772054013523794,0.13268902897834778,0.0
r_normal_wide,0.02617290315443958,0.15083527565002441,0.0
r_normal_wide,0.028816225099520986,0.15385639667510986,0.0
r_normal_wide,0.03172650829319295,0.14413012564182281,0.0
r_normal_wide,0.03493071438058602,0.11123943328857422,0.0
r_normal_wide,0.038458527987457976,0.08018610626459122,0.0
r_normal_wide,0.04234263172653941,0.062367428094148636,0.0
r_normal_wide,0.04661900897803576,0.06869842857122421,0.0
r_normal_wide,0.0513272772493256,0.05791398137807846,0.0
r_normal_wide,0.05651105520218928,0.06312297284603119,0.0
r_normal_wide,0.062218366747806474,0.07778449356555939,0.0
r_normal_wide,0.0685020859531673,0.07619493454694748,0.0
r_normal_wide,0.07542042688062935,0.07256551831960678,0.0
r_normal_wide,0.0830374828986263,0.04996122792363167,0.0
r_normal_wide,0.09142382045984675,0.030498052015900612,0.0
r_normal_wide,0.10065713284780411,0.027225704863667488,0.0
r_normal_wide,0.11082295994828163,0.028099315240979195,0.0
r_normal_wide,0.12201548071380787,0.028828661888837814,0.0
r_normal_wide,0.13433838566276676,0.036804910749197006,0.0
r_normal_wide,0.14790583749620875,0.03295222669839859,0.0
r_normal_wide,0.16284352873177418,0.03674750775098801,0.001953125
r_normal_wide,0.1792898461529342,0.03853387013077736,0.0
r_normal_wide,0.19739715286132026,0.04048984497785568,0.0
r_normal_wide,0.21733319980941776,0.049473006278276443,0.0
r_normal_wide,0.23928267989044386,0.05327339097857475,0.0
r_normal_wide,0.2634489389829135,0.0719771683216095,0.0
r_normal_wide,0.290055859801471,0.08602802455425262,0.0
r_normal_wide,0.3193499360064882,0.08723286539316177,0.0
r_normal_wide,0.35160255578753474,0.10779229551553726,0.0
r_normal_wide,0.3871125160764548,0.12875765562057495,0.00390625
r_normal_wide,0.4262087906823923,0.136154443025589,0.00390625
r_normal_wide,0.46925357799351164,0.18244284391403198,0.00390625
r_normal_wide,0.5166456564801436,0.18443815410137177,0.0
r_normal_wide,0.5688240790856355,0.19033704698085785,0.0
r_normal_wide,0.6262722407307354,0.2829801142215729,0.01171875
r_normal_wide,0.6895223566139651,0.28763964772224426,0.005859375
r_normal_wide,0.7591603927961601,0.35284364223480225,0.005859375
r_normal_wide,0.8358314947474289,0.5052640438079834,0.0234375
r_normal_wide,0.9202459641480578,0.5278103351593018,0.0234375
r_normal_wide,1.0131858393140483,0.7152342796325684,0.048828125
