schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
hang_laplace_lambda_b0.5,20260526,0.038458527987457976,0.2416948676109314,0.0014422968961298466,0.24069172143936157,0.001220703125
hang_laplace_lambda_b0.5,20260526,0.04234263172653941,0.26401078701019287,0.0018242516089230776,0.26201510429382324,0.002197265625
hang_laplace_lambda_b0.5,20260526,0.04661900897803576,0.2660675048828125,0.002155677415430546,0.26312053203582764,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.0513272772493256,0.25454550981521606,0.002573816804215312,0.2512758672237396,0.00146484375
hang_laplace_lambda_b0.5,20260526,0.05651105520218928,0.2389395833015442,0.0031006955541670322,0.2370396852493286,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.062218366747806474,0.23538823425769806,0.0038452392909675837,0.2314329743385315,0.001220703125
hang_laplace_lambda_b0.5,20260526,0.0685020859531673,0.23402723670005798,0.00475672259926796,0.23036961257457733,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.07542042688062935,0.2311139702796936,0.005591358058154583,0.22467684745788574,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.0830374828986263,0.22725972533226013,0.0065380423329770565,0.2215065062046051,0.0
hang_laplace_lambda_b0.5,20260526,0.09142382045984675,0.21286708116531372,0.008125467225909233,0.204458087682724,0.0009765625
hang_laplace_lambda_b0.5,20260526,0.10065713284780411,0.1846989095211029,0.009667456150054932,0.17623266577720642,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.11082295994828163,0.1454763263463974,0.011950762942433357,0.1344921588897705,0.0009765625
hang_laplace_lambda_b0.5,20260526,0.12201548071380787,0.10504939407110214,0.01426871307194233,0.0925118625164032,0.000244140625
hang_laplace_lambda_b0.5,20260526,0.13433838566276676,0.07840412855148315,0.0171445831656456,0.061178624629974365,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.14790583749620875,0.06254947930574417,0.019826147705316544,0.04337707534432411,0.0
hang_laplace_lambda_b0.5,20260526,0.16284352873177418,0.06568469107151031,0.024120615795254707,0.04158632457256317,0.0
hang_laplace_lambda_b0.5,20260526,0.1792898461529342,0.07940715551376343,0.02778162620961666,0.05217251554131508,0.000244140625
hang_laplace_lambda_b0.5,20260526,0.19739715286132026,0.1003945916891098,0.034496936947107315,0.0684986561536789,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.21733319980941776,0.11502596735954285,0.03946719318628311,0.07540880143642426,0.000244140625
hang_laplace_lambda_b0.5,20260526,0.23928267989044386,0.11376899480819702,0.04744911193847656,0.0667809545993805,0.000244140625
hang_laplace_lambda_b0.5,20260526,0.2634489389829135,0.10035856813192368,0.05554589629173279,0.04544238746166229,0.0
hang_laplace_lambda_b0.5,20260526,0.290055859801471,0.09535132348537445,0.06406278908252716,0.0287681445479393,0.000732421875
hang_laplace_lambda_b0.5,20260526,0.3193499360064882,0.09753842651844025,0.0757552832365036,0.021803585812449455,0.001220703125
hang_laplace_lambda_b0.5,20260526,0.35160255578753474,0.10097913444042206,0.08146330714225769,0.022393934428691864,0.00048828125
hang_laplace_lambda_b0.5,20260526,0.3871125160764548,0.12858858704566956,0.09704311192035675,0.029285240918397903,0.000732421875
hang_laplace_lambda_b0.5,20260526,0.4262087906823923,0.1375308632850647,0.10654859244823456,0.03263145685195923,0.001708984375
hang_laplace_lambda_b0.5,20260526,0.46925357799351164,0.1518341302871704,0.12454377114772797,0.027912389487028122,0.00146484375
hang_laplace_lambda_b0.5,20260526,0.5166456564801436,0.1584472954273224,0.14121131598949432,0.017007838934659958,0.003173828125
hang_laplace_lambda_b0.5,20260526,0.5688240790856355,0.1663115918636322,0.1584998369216919,0.008654637262225151,0.0029296875
hang_laplace_lambda_b0.5,20260526,0.6262722407307354,0.1870269477367401,0.18181656301021576,0.005535278469324112,0.00634765625
hang_laplace_lambda_b0.5,20260526,0.6895223566139651,0.2262706160545349,0.2209252119064331,0.00468519888818264,0.0126953125
hang_laplace_lambda_b0.5,20260526,0.7591603927961601,0.26917704939842224,0.265751451253891,0.0064415535889565945,0.015380859375
hang_laplace_lambda_b0.5,20260526,0.8358314947474289,0.3266753554344177,0.32339364290237427,0.010786274448037148,0.021240234375
hang_laplace_lambda_b0.5,20260526,0.9202459641480578,0.4012049734592438,0.3843282461166382,0.015228541567921638,0.029296875
hang_laplace_lambda_b0.5,20260526,1.0131858393140483,0.49968522787094116,0.48945116996765137,0.014604363590478897,0.039794921875
