t,lambda_t,R_t
0.58775,-0.558468636462124,3.6194567300106453
0.58825,-0.5617342317473335,3.6156972123817788
0.58875,-0.5650012871087886,3.611935464409207
0.58925,-0.5682698119210715,3.6081714884133653
0.58975,-0.5715398155786742,3.6044052867160628
0.59025,-0.5748113074961502,3.600636861640482
0.59075,-0.5780842971082608,3.5968662155111772
0.59125,-0.5813587938701301,3.5930933506540708
0.59175,-0.5846348072573881,3.589318269396458
0.59225,-0.5879123467663318,3.585540974066996
0.59275,-0.5911914219140678,3.581761466995712
0.59325,-0.5944720422386717,3.577979750513997
0.59375,-0.5977542172993401,3.574195826954601
0.59425,-0.6010379566765445,3.570409698651639
0.59475,-0.6043232699721856,3.5666213679405865
0.59525,-0.6076101668097509,3.5628308371582738
0.59575,-0.6108986568344702,3.559038108642892
0.59625,-0.6141887497134731,3.555243184733988
0.59675,-0.6174804551359481,3.55144606777246
0.59725,-0.6207737828132996,3.54764676010056
0.59775,-0.624068742479311,3.5438452640618934
0.59825,-0.6273653438903,3.5400415820014133
0.59875,-0.6306635968252856,3.536235716265421
0.59925,-0.6339635110861452,3.5324276692015677
0.59975,-0.6372650964977823,3.5286174431588466
0.60025,-0.6405683629082856,3.524805040487597
0.60075,-0.6438733201890973,3.5209904635395
0.60125,-0.6471799782351745,3.51717371466758
0.60175,-0.650488346965162,3.5133547962261957
0.60225,-0.6537984363215491,3.5095337105710533
0.60275,-0.6571102562708507,3.5057104600591846
0.60325,-0.660423816803762,3.501885047048968
0.60375,-0.6637391279353412,3.498057473900106
0.60425,-0.6670561997051689,3.4942277429736412
0.60475,-0.6703750421775282,3.490395856631942
0.60525,-0.6736956654415708,3.4865618172387096
0.60575,-0.6770180796114947,3.482725627158971
0.60625,-0.680342294826714,3.478887288759083
0.60675,-0.6836683212520391,3.475046804406723
0.60725,-0.6869961690778477,3.4712041764708963
0.60775,-0.6903258485202642,3.4673594073219296
0.60825,-0.6936573698213377,3.4635124993314683
0.60875,-0.6969907432492198,3.459663454872478
0.60925,-0.7003259790983433,3.4558122763192447
0.60975,-0.7036630876896072,3.4519589660473677
0.61025,-0.7070020793705514,3.448103526433762
0.61075,-0.710342964515548,3.4442459598566564
