schedule,seed,lambda,mse,bayes_mse,excess_mse,mode_error
hang_laplace_lambda_b0.5,20260526,-4.936708860759493,0.08947679400444031,0.029673168435692787,0.05924930423498154,0.50439453125
hang_laplace_lambda_b0.5,20260526,-4.6835443037974684,0.05666203796863556,0.0381615050137043,0.01964413747191429,0.489013671875
hang_laplace_lambda_b0.5,20260526,-4.430379746835443,0.05897556245326996,0.048393070697784424,0.01051640696823597,0.5009765625
hang_laplace_lambda_b0.5,20260526,-4.177215189873417,0.07379965484142303,0.06101946532726288,0.011396599002182484,0.503173828125
hang_laplace_lambda_b0.5,20260526,-3.924050632911392,0.0831969603896141,0.07711698114871979,0.005691537633538246,0.484375
hang_laplace_lambda_b0.5,20260526,-3.670886075949367,0.10164257138967514,0.09614090621471405,0.0062169586308300495,0.45361328125
hang_laplace_lambda_b0.5,20260526,-3.4177215189873413,0.13068008422851562,0.12019933015108109,0.009837315417826176,0.4462890625
hang_laplace_lambda_b0.5,20260526,-3.1645569620253156,0.15870437026023865,0.150800421833992,0.006639636121690273,0.374267578125
hang_laplace_lambda_b0.5,20260526,-2.9113924050632907,0.1884562373161316,0.18567615747451782,0.0033546348568052053,0.314453125
hang_laplace_lambda_b0.5,20260526,-2.6582278481012658,0.2354372888803482,0.2300843894481659,0.0055467006750404835,0.3037109375
hang_laplace_lambda_b0.5,20260526,-2.40506329113924,0.27339357137680054,0.2682875692844391,0.004540374502539635,0.261962890625
hang_laplace_lambda_b0.5,20260526,-2.1518987341772142,0.3285401463508606,0.3265264630317688,0.002764847595244646,0.24658203125
hang_laplace_lambda_b0.5,20260526,-1.8987341772151893,0.37702977657318115,0.37137240171432495,0.003459274535998702,0.223876953125
hang_laplace_lambda_b0.5,20260526,-1.6455696202531644,0.43577882647514343,0.4329105019569397,0.00237466162070632,0.199462890625
hang_laplace_lambda_b0.5,20260526,-1.3924050632911396,0.47036460041999817,0.4691861569881439,0.0008750989800319076,0.16845703125
hang_laplace_lambda_b0.5,20260526,-1.139240506329113,0.5304065942764282,0.5297044515609741,0.0006938552833162248,0.150390625
hang_laplace_lambda_b0.5,20260526,-0.886075949367088,0.5313615798950195,0.5310482978820801,0.0005863317055627704,0.110595703125
hang_laplace_lambda_b0.5,20260526,-0.6329113924050631,0.5469069480895996,0.5457228422164917,0.0017945641884580255,0.0908203125
hang_laplace_lambda_b0.5,20260526,-0.37974683544303645,0.5526461005210876,0.5525392293930054,0.0008618759457021952,0.066162109375
hang_laplace_lambda_b0.5,20260526,-0.12658227848101156,0.5269405245780945,0.525878369808197,0.0003055535489693284,0.05029296875
hang_laplace_lambda_b0.5,20260526,0.12658227848101333,0.5176806449890137,0.5132825374603271,0.002092877635732293,0.036865234375
hang_laplace_lambda_b0.5,20260526,0.3797468354430382,0.41557401418685913,0.4142392575740814,0.001612406806088984,0.0146484375
hang_laplace_lambda_b0.5,20260526,0.6329113924050631,0.4548216462135315,0.45285284519195557,0.002338048769161105,0.010498046875
hang_laplace_lambda_b0.5,20260526,0.8860759493670898,0.46355849504470825,0.45867374539375305,0.004563697148114443,0.006591796875
hang_laplace_lambda_b0.5,20260526,1.1392405063291147,0.509355366230011,0.5040626525878906,0.006274235900491476,0.006103515625
hang_laplace_lambda_b0.5,20260526,1.3924050632911396,0.5504442453384399,0.54852694272995,0.008342519402503967,0.003173828125
hang_laplace_lambda_b0.5,20260526,1.6455696202531662,0.6138017177581787,0.6051807403564453,0.010178076103329659,0.001953125
hang_laplace_lambda_b0.5,20260526,1.898734177215191,0.644904613494873,0.6273180842399597,0.015227061696350574,0.00048828125
hang_laplace_lambda_b0.5,20260526,2.151898734177216,0.7049496173858643,0.683350145816803,0.01616656593978405,0.000732421875
hang_laplace_lambda_b0.5,20260526,2.405063291139241,0.7417281270027161,0.7208199501037598,0.016260210424661636,0.000244140625
hang_laplace_lambda_b0.5,20260526,2.6582278481012658,0.7672715783119202,0.7533317804336548,0.011713491752743721,0.000244140625
hang_laplace_lambda_b0.5,20260526,2.9113924050632924,0.8536290526390076,0.8465074896812439,0.011057430878281593,0.000244140625
hang_laplace_lambda_b0.5,20260526,3.1645569620253173,0.8576553463935852,0.841200590133667,0.01630469784140587,0.0
hang_laplace_lambda_b0.5,20260526,3.417721518987342,0.9041937589645386,0.8750766515731812,0.021648526191711426,0.0
hang_laplace_lambda_b0.5,20260526,3.670886075949369,0.9300993084907532,0.9051538109779358,0.025976356118917465,0.0
hang_laplace_lambda_b0.5,20260526,3.9240506329113938,0.9612873792648315,0.9345741271972656,0.030631639063358307,0.0
hang_laplace_lambda_b0.5,20260526,4.177215189873419,0.9660778641700745,0.9260532259941101,0.03972526639699936,0.0
hang_laplace_lambda_b0.5,20260526,4.4303797468354436,1.0081205368041992,0.9463679790496826,0.05508900433778763,0.0
